moveId,name,type,bp,acc,prio,cat,ohko,highCrit,NEEDS_BP_REVIEW
horndrill,Horn Drill,Normal,0,30,0,Physical,yes,,BP doesn't matter since it is a OHKO
hydropump,Hydro Pump,Water,110,80,0,Special,,,
hyperbeam,Hyper Beam,Normal,150,90,0,Physical,,,
hyperfang,Hyper Fang,Normal,80,90,0,Physical,,,
hypnosis,Hypnosis,Psychic,0,60,0,Status,,,
icebeam,Ice Beam,Ice,90,100,0,Special,,,
icepunch,Ice Punch,Ice,75,100,0,Special,,,
icywind,Icy Wind,Ice,55,95,0,Special,,,
irontail,Iron Tail,Steel,100,75,0,Physical,,,
jumpkick,Jump Kick,Fighting,100,95,0,Physical,,,
karatechop,Karate Chop,Fighting,50,100,0,Physical,,yes,
kinesis,Kinesis,Psychic,0,80,0,Status,,,
leechlife,Leech Life,Bug,80,100,0,Physical,,,
leechseed,Leech Seed,Grass,0,90,0,Status,,,
leer,Leer,Normal,0,100,0,Status,,,
lick,Lick,Ghost,30,100,0,Physical,,,
lightscreen,Light Screen,Psychic,0,—(never miss),0,Status,,,
lockon,Lock-On,Normal,0,—(never miss),0,Status,,,
lovelykiss,Lovely Kiss,Normal,0,75,0,Status,,,
lowkick,Low Kick,Fighting,50,100,0,Physical,,,
machpunch,Mach Punch,Fighting,40,100,1,Physical,,,
magnitude,Magnitude,Ground,75,100,0,Physical,,,
meanlook,Mean Look,Normal,0,—(never miss),0,Status,,,
meditate,Meditate,Psychic,0,—(never miss),0,Status,,,
megadrain,Mega Drain,Grass,40,100,0,Special,,,
megakick,Mega Kick,Normal,120,75,0,Physical,,,
megapunch,Mega Punch,Normal,80,85,0,Physical,,,
megahorn,Megahorn,Bug,120,85,0,Physical,,,
metalclaw,Metal Claw,Steel,50,95,0,Physical,,,
metronome,Metronome,Normal,0,—(never miss),0,Status,,,
milkdrink,Milk Drink,Normal,0,—(never miss),0,Status,,,
mimic,Mimic,Normal,0,—(never miss),0,Status,,,
mindreader,Mind Reader,Normal,0,—(never miss),0,Status,,,
minimize,Minimize,Normal,0,—(never miss),0,Status,,,
mirrormove,Mirror Move,Flying,0,—(never miss),0,Status,,,
mist,Mist,Ice,0,—(never miss),0,Status,,,
moonlight,Moonlight,Fairy,0,—(never miss),0,Status,,,
morningsun,Morning Sun,Normal,0,—(never miss),0,Status,,,
mudslap,Mud-Slap,Ground,20,100,0,Physical,,,
nightshade,Night Shade,Ghost,40,100,0,Physical,,,
nightmare,Nightmare,Ghost,0,100,0,Status,,,
octazooka,Octazooka,Water,65,85,0,Special,,,
outrage,Outrage,Dragon,120,100,0,Special,,,
painsplit,Pain Split,Normal,0,—(never miss),0,Status,,,
payday,Pay Day,Normal,40,100,0,Physical,,,
peck,Peck,Flying,35,100,0,Physical,,,
perishsong,Perish Song,Normal,0,—(never miss),0,Status,,,
petaldance,Petal Dance,Grass,120,100,0,Special,,,
pinmissile,Pin Missile,Bug,25,95,0,Physical,,,
poisongas,Poison Gas,Poison,0,90,0,Status,,,
poisonpowder,Poison Powder,Poison,0,75,0,Status,,,
poisonsting,Poison Sting,Poison,15,100,0,Physical,,,
pound,Pound,Normal,40,100,0,Physical,,,
powdersnow,Powder Snow,Ice,40,100,0,Special,,,
protect,Protect,Normal,0,—(never miss),4,Status,,,
psybeam,Psybeam,Psychic,65,100,0,Special,,,
psychup,Psych Up,Normal,0,—(never miss),0,Status,,,
psychic,Psychic,Psychic,90,100,0,Special,,,
psywave,Psywave,Psychic,50,100,0,Special,,,
pursuit,Pursuit,Dark,40,100,0,Special,,,
quickattack,Quick Attack,Normal,40,100,1,Physical,,,
rage,Rage,Normal,20,100,0,Physical,,,
raindance,Rain Dance,Water,0,—(never miss),0,Status,,,
rapidspin,Rapid Spin,Normal,50,100,0,Physical,,,
razorleaf,Razor Leaf,Grass,55,95,0,Special,,yes,
razorwind,Razor Wind,Normal,80,100,0,Physical,,,
recover,Recover,Normal,0,—(never miss),0,Status,,,
reflect,Reflect,Psychic,0,—(never miss),0,Status,,,
rest,Rest,Psychic,0,—(never miss),0,Status,,,
return,Return,Normal,50,100,0,Physical,,,
reversal,Reversal,Fighting,60,100,0,Physical,,,
roar,Roar,Normal,0,—(never miss),-6,Status,,,
rockslide,Rock Slide,Rock,75,90,0,Physical,,,
rocksmash,Rock Smash,Fighting,40,100,0,Physical,,,
rockthrow,Rock Throw,Rock,50,90,0,Physical,,,
rollingkick,Rolling Kick,Fighting,60,85,0,Physical,,,
rollout,Rollout,Rock,30,90,0,Physical,,,
sacredfire,Sacred Fire,Fire,100,95,0,Special,,,
safeguard,Safeguard,Normal,0,—(never miss),0,Status,,,
sandattack,Sand-Attack,Ground,0,100,0,Status,,,
sandstorm,Sandstorm,Rock,0,—(never miss),0,Status,,,
scaryface,Scary Face,Normal,0,100,0,Status,,,
scratch,Scratch,Normal,40,100,0,Physical,,,
screech,Screech,Normal,0,85,0,Status,,,
seismictoss,Seismic Toss,Fighting,70,100,0,Physical,,,
selfdestruct,Selfdestruct,Normal,200,100,0,Physical,,,
shadowball,Shadow Ball,Ghost,80,100,0,Physical,,,
sharpen,Sharpen,Normal,0,—(never miss),0,Status,,,
sing,Sing,Normal,0,55,0,Status,,,
sketch,Sketch,Normal,0,—(never miss),0,Status,,,
skullbash,Skull Bash,Normal,130,100,0,Physical,,,
skyattack,Sky Attack,Flying,140,90,0,Physical,,,
slam,Slam,Normal,80,75,0,Physical,,,
slash,Slash,Normal,70,100,0,Physical,,yes,
sleeppowder,Sleep Powder,Grass,0,75,0,Status,,,
sleeptalk,Sleep Talk,Normal,0,—(never miss),0,Status,,,
sludge,Sludge,Poison,65,100,0,Physical,,,
sludgebomb,Sludge Bomb,Poison,90,100,0,Physical,,,
smog,Smog,Poison,30,70,0,Physical,,,
smokescreen,Smokescreen,Normal,0,100,0,Status,,,
snore,Snore,Normal,50,100,0,Physical,,,
softboiled,Softboiled,Normal,0,—(never miss),0,Status,,,
solarbeam,Solarbeam,Grass,120,100,0,Special,,,
sonicboom,Sonicboom,Normal,20,90,0,Physical,,,
spark,Spark,Electric,65,100,0,Special,,,
spiderweb,Spider Web,Bug,0,—(never miss),0,Status,,,
spikecannon,Spike Cannon,Normal,20,100,0,Physical,,,
spikes,Spikes,Ground,0,—(never miss),0,Status,,,
spite,Spite,Ghost,0,100,0,Status,,,
splash,Splash,Normal,0,—(never miss),0,Status,,,
spore,Spore,Grass,0,100,0,Status,,,
steelwing,Steel Wing,Steel,70,90,0,Physical,,,
stomp,Stomp,Normal,65,100,0,Physical,,,
strength,Strength,Normal,80,100,0,Physical,,,
stringshot,String Shot,Bug,0,95,0,Status,,,
stunspore,Stun Spore,Grass,0,75,0,Status,,,
submission,Submission,Fighting,80,80,0,Physical,,,
substitute,Substitute,Normal,0,—(never miss),0,Status,,,
sunnyday,Sunny Day,Fire,0,—(never miss),0,Status,,,
superfang,Super Fang,Normal,70,90,0,Physical,,,
supersonic,Supersonic,Normal,0,55,0,Status,,,
surf,Surf,Water,90,100,0,Special,,,
swagger,Swagger,Normal,0,85,0,Status,,,
sweetkiss,Sweet Kiss,Fairy,0,75,0,Status,,,
sweetscent,Sweet Scent,Normal,0,100,0,Status,,,
swift,Swift,Normal,60,—(never miss),0,Physical,,,
swordsdance,Swords Dance,Normal,0,—(never miss),0,Status,,,
synthesis,Synthesis,Grass,0,—(never miss),0,Status,,,
tackle,Tackle,Normal,40,100,0,Physical,,,
tailwhip,Tail Whip,Normal,0,100,0,Status,,,
takedown,Take Down,Normal,90,85,0,Physical,,,
teleport,Teleport,Psychic,0,—(never miss),-6,Status,,,
thief,Thief,Dark,60,100,0,Special,,,
thrash,Thrash,Normal,120,100,0,Physical,,,
thunder,Thunder,Electric,110,70,0,Special,,,
thunderwave,Thunder Wave,Electric,0,90,0,Status,,,
thunderbolt,Thunderbolt,Electric,90,100,0,Special,,,
thunderpunch,Thunderpunch,Electric,75,100,0,Special,,,
thundershock,Thundershock,Electric,40,100,0,Special,,,
toxic,Toxic,Poison,0,90,0,Status,,,
transform,Transform,Normal,0,—(never miss),0,Status,,,
triattack,Tri Attack,Normal,80,100,0,Physical,,,
triplekick,Triple Kick,Fighting,10,90,0,Physical,,,
twineedle,Twineedle,Bug,25,100,0,Physical,,,
twister,Twister,Dragon,40,100,0,Special,,,
vinewhip,Vine Whip,Grass,45,100,0,Special,,,
visegrip,Vise Grip,Normal,55,100,0,Physical,,,
vitalthrow,Vital Throw,Fighting,70,—(never miss),-1,Physical,,,
watergun,Water Gun,Water,40,100,0,Special,,,
waterfall,Waterfall,Water,80,100,0,Special,,,
whirlpool,Whirlpool,Water,35,85,0,Special,,,
whirlwind,Whirlwind,Normal,0,—(never miss),-6,Status,,,
wingattack,Wing Attack,Flying,60,100,0,Physical,,,
withdraw,Withdraw,Water,0,—(never miss),0,Status,,,
wrap,Wrap,Normal,15,90,0,Physical,,,
zapcannon,Zap Cannon,Electric,120,50,0,Special,,,
